lgcode,pref,city,domain,spf,spf_policy,dmarc,dmarc_policy,mx,mx_spf,mx_spf_policy,mx_dmarc,mx_dmarc_policy
022101,青森県,平川市,city.hirakawa.lg.jp,True,relax,False,,sc02-mail01.sbt-isc.jp,False,,False,
023019,青森県,平内町,town.hiranai.aomori.jp,True,relax,False,,sc02-mail01.sbt-isc.jp,False,,False,
023035,青森県,今別町,town.imabetsu.lg.jp,True,relax,False,,sc02-mail01.sbt-isc.jp,False,,False,
023043,青森県,蓬田村,vill.yomogita.lg.jp,True,relax,False,,sc02-mail01.sbt-isc.jp,False,,False,
023078,青森県,外ヶ浜町,town.sotogahama.lg.jp,True,relax,False,,sc02-mail01.sbt-isc.jp,False,,False,
023213,青森県,鰺ヶ沢町,town.ajigasawa.lg.jp,True,relax,False,,sc02-mail01.sbt-isc.jp,False,,False,
023230,青森県,深浦町,town.fukaura.lg.jp,True,relax,False,,sc02-mail01.sbt-isc.jp,False,,False,
023434,青森県,西目屋村,nishimeya.jp,False,,False,,,,,,
023612,青森県,藤崎町,town.fujisaki.lg.jp,True,relax,False,,sc02-mail01.sbt-isc.jp,False,,False,
023621,青森県,大鰐町,town.owani.lg.jp,True,relax,False,,sc02-mail01.sbt-isc.jp,False,,False,
023671,青森県,田舎館村,vill.inakadate.lg.jp,True,relax,False,,sc02-mail01.sbt-isc.jp,False,,False,
023817,青森県,板柳町,town.itayanagi.aomori.jp,True,relax,False,,sc02-mail01.sbt-isc.jp,False,,False,
023841,青森県,鶴田町,town.tsuruta.lg.jp,True,relax,False,,sc02-mail01.sbt-isc.jp,False,,False,
023876,青森県,中泊町,town.nakadomari.lg.jp,True,relax,False,,sc02-mail01.sbt-isc.jp,False,,False,
024015,青森県,野辺地町,town.noheji.aomori.jp,False,,False,,,,,,
024023,青森県,七戸町,town.shichinohe.lg.jp,True,relax,False,,sc02-mail01.sbt-isc.jp,False,,False,
024058,青森県,六戸町,town.rokunohe.aomori.jp,True,relax,False,,sc02-mail01.sbt-isc.jp,False,,False,
024066,青森県,横浜町,town.yokohama.lg.jp,True,relax,False,,sc02-mail01.sbt-isc.jp,False,,False,
024082,青森県,東北町,town.tohoku.lg.jp,True,relax,False,,sc02-mail01.sbt-isc.jp,False,,False,
024112,青森県,六ヶ所村,rokkasho.jp,True,relax,False,,sc02-mail01.sbt-isc.jp,False,,False,
024121,青森県,おいらせ町,town.oirase.aomori.jp,True,relax,False,,sc02-mail01.sbt-isc.jp,False,,False,
024236,青森県,大間町,town.ooma.lg.jp,True,relax,False,,sc02-mail01.sbt-isc.jp,False,,False,
